
"lakeid","sampledate","avsnow","totice","whiteice","blueice"
"SP","1986-01-14",17.5,29.0,6.0,23.0
"SP","1987-01-14",3.5,24.0,0.0,24.0
"SP","1992-01-14",11.3,30.0,7.0,23.0
"SP","1997-01-14",11.0,37.0,26.0,11.0
"SP","2013-01-14",0.0,21.0,1.0,20.0
"SP","2015-01-14",24.1,23.0,10.0,13.0
"SP","2003-01-15",1.0,45.0,0.0,45.0
"SP","2007-01-15",6.8,29.0,8.0,21.0
"SP","1991-01-16",8.8,38.0,5.0,33.0
"SP","2002-01-16",5.1,16.5,4.0,12.5
"SP","1990-01-17",15.9,36.0,,36.0
"SP","2006-01-17",12.5,29.0,6.0,23.0
"SP","2008-01-17",11.1,33.0,8.0,25.0
"SP","2017-01-17",16.5,26.0,9.0,17.0
"SP","1999-01-18",22.9,26.0,0.0,26.0
"SP","2000-01-18",18.9,27.5,0.5,27.0
"SP","2011-01-18",16.9,31.0,10.0,21.0
"SP","1988-01-19",2.8,35.0,16.0,19.0
"SP","2005-01-19",11.2,43.0,0.0,43.0
"SP","1982-01-20",4.3,43.0,22.5,20.5
"SP","2009-01-20",17.8,45.0,6.0,39.0
"SP","2016-01-21",6.5,22.0,5.0,17.0
"SP","2001-01-22",20.7,32.0,10.0,22.0
"SP","1996-01-24",11.0,51.0,22.0,29.0
"SP","2014-01-30",32.1,38.0,7.0,31.0
"SP","2010-02-11",9.4,46.0,14.0,32.0
"SP","2006-02-13",23.6,33.0,12.0,21.0
"SP","2011-02-14",16.9,35.0,11.0,24.0
"SP","1997-02-17",24.5,40.0,26.0,14.0
"SP","2014-02-17",22.0,50.0,32.0,18.0
"SP","2004-02-18",29.7,42.0,7.0,35.0
"SP","1990-02-19",15.9,51.0,10.0,41.0
"SP","1991-02-19",8.6,55.0,5.0,50.0
"SP","1995-02-20",15.5,42.0,1.0,41.0
"SP","2007-02-20",8.7,42.0,5.0,37.0
"SP","1994-02-21",0.0,39.0,6.0,33.0
"SP","1996-02-21",11.7,53.0,26.0,27.0
"SP","2012-02-21",9.4,41.0,11.0,30.0
"SP","2000-02-22",27.6,36.0,2.0,34.0
